duration_seconds_int,comments,city,date_posted,longitude,state,duration_seconds,duration_hours,id,shape,datetime,latitude,country
600,We were looking at the stars &#44 and noticed 3 lights moving back and forth&#44 We could Not see the pattern till I saw the picture.,sweeny,2007-11-28,-95.6983333,tx,600,about 10 mins.,8957,light,2007-11-13 21:00:00.000000,29.0386111,us
600,Entered atmosphere from the Far north as though falling 1&#44000 plus knots.fell then leveled out over Allen TX tried to turn light em,allen,2009-01-10,-96.6702778,tx,600,10 minutes,8963,unknown,2008-11-13 17:30:00.000000,33.1030556,us
10,3 Large Lights on a horizontal saucer shaped object,lometa,2009-01-10,-98.3930556,tx,10,10 seconds,8968,disk,2008-11-13 20:00:00.000000,31.2169444,us
180,MYSTERIOUS ORANGE SPHERE,celina,2009-12-12,-96.7841667,tx,180,3 minutes,8972,circle,2009-11-13 01:15:00.000000,33.3244444,us
30,A glowing green oval-disk shaped object appeared in the sky.,crandall,2011-12-12,-96.4555556,tx,30,30 seconds,9008,disk,2011-11-13 21:45:00.000000,32.6277778,us
300,Flying cigar shaped object with six lights over Benbrook by the lake.,benbrook,2012-11-19,-97.4602778,tx,300,5 minutes,9017,cigar,2012-11-13 06:30:00.000000,32.6730556,us
30,Glowing fireball going through night sky,katy,2012-11-19,-95.8241667,tx,30,30 seconds,9031,fireball,2012-11-13 19:55:00.000000,29.7855556,us
300,11/14/1954   WHILE HUNTING OBJECT CIRCLED&#44 LANDED AND THEN TOOK OFF STRAIGHT OUT OF SIGHT.,thelma (south of),2005-09-02,-96.6108333,tx,300,5 minutes,9067,disk,1954-11-14 01:00:00.000000,31.5830556,us
300,I saw an oval shaped object that stood in the air and made square turns and left almost straight up at thousands of miles per hour. I,corpus christi,2013-08-30,-97.3961111,tx,300,4-5 minutes,9068,oval,1966-11-14 22:15:00.000000,27.8002778,us
2,Fireball in Alvarado,alvarado,2001-08-05,-97.2113889,tx,2,2 seconds,9071,fireball,1984-11-14 20:00:00.000000,32.4063889,us
1800,We know we weren&#39t the only ones to see it&#44 but there was never any media reports about it.,sweetwater,2003-06-18,-100.4055556,tx,1800,30 min,9072,changing,1988-11-14 22:30:00.000000,32.4708333,us
2700,Saw strange lights above high clouds from an American Airlines flight into Dallas Ft Worth,dallas/ft. worth (approaching),2001-08-05,-97.330766,tx,2700,35-45 minutes,9085,formation,1997-11-14 18:35:00.000000,32.755488,
5,I saw a black Triangle containing 6 lights traveling due south for about 5 seconds before it disappeared,addison,1999-11-17,-96.8288889,tx,5,5 seconds,9126,triangle,1999-11-14 03:30:00.000000,32.9616667,us
300,Two adults and one child witnessed a bright object moving in a snake like pattern across the sky then quickly fading away.,cumby,1999-11-17,-95.8391667,tx,300,5 minutes,9129,unknown,1999-11-14 18:45:00.000000,33.1372222,us
180,i saw a mothership letting off flying sausers,henderson,2002-03-19,-94.7991667,tx,180,three minutes,9140,,2000-11-14 00:00:00.000000,32.1530556,us
7,A green fireball coming down at a rapid speed disappeared before it would have hit the ground.,plano,2005-12-16,-96.6986111,tx,7,5-7 seconds,9172,fireball,2005-11-14 19:45:00.000000,33.0197222,us
2,BRIGHT flash that looked like someone taking a picture from up above with streak of light that faded....,lewisville,2005-12-16,-96.9938889,tx,2,few seconds,9173,flash,2005-11-14 20:10:00.000000,33.0461111,us
1,Burning debrie falling from space.  ((NUFORC Note:  Possible meteor.  PD)),austin,2005-12-16,-97.7427778,tx,1,1 sec,9174,fireball,2005-11-14 20:13:00.000000,30.2669444,us
1,bright blue/turqoiuse colored light &#44 lights up the whole lower level of the sky for apprx. 1 sec.  ((Meteor??)),waco,2005-12-16,-97.1463889,tx,1,1  second,9175,light,2005-11-14 20:15:00.000000,31.5491667,us
600,Cigar-shaped UFO moving south-southwest towards Mexico,el paso (fort bliss),2009-01-10,-106.4863889,tx,600,10 minutes,9203,cigar,2008-11-14 10:00:00.000000,31.7586111,us
60,creature in transparent sphere  panics at being seen by nine year old boy,runge,2007-10-08,-97.7127778,tx,60,1 minute,9303,sphere,1962-11-15 21:00:00.000000,28.8830556,us
8,Large Bright Blue Ball of light at very low altitude.,lake victor,1999-02-16,-98.1930556,tx,8,5-8 seconds,9316,sphere,1971-11-15 21:00:00.000000,30.9088889,us
30,Large Triangle over Austin Texas 1979,austin,2010-06-03,-97.7427778,tx,30,20-30 seconds,9345,triangle,1979-11-15 21:00:00.000000,30.2669444,us
10,Very bright&#44 fast moving light which appeared to circle the local radio tower and speed away,lampasas,1999-04-02,-98.1813889,tx,10,10 seconds,9348,light,1980-11-15 22:00:00.000000,31.0636111,us
10,Huge UFO over North Star Mall,san antonio,2005-01-27,-98.4933333,tx,10,10 seconds,9373,diamond,1989-11-15 18:00:00.000000,29.4238889,us
600,Cousin and Boyfriend on the way home from work early in the morning saw a triangular craft that totally scared them both as it was just,wylie (just off the main highway),1999-10-02,-96.5386111,tx,600,10 minutes,9377,triangle,1990-11-15 03:00:00.000000,33.0150000,us
300,I was driving home from work and saw something that looked like a falling star&#44 it took off very fast.,kilgore,2011-12-12,-94.8755556,tx,300,5 minutes,9380,light,1990-11-15 22:00:00.000000,32.3861111,us
600,UFO sighting in Pasadena TX in November 1991.,pasadena,2009-03-19,-95.2088889,tx,600,5-10 minutes,9386,unknown,1991-11-15 19:30:00.000000,29.6908333,us
3600,Large mother ship sighting and smaller UFO chased by military fighters.,encinal (northeast of),2003-09-17,-99.3541667,tx,3600,1 hour,9391,rectangle,1993-11-15 14:30:00.000000,28.0408333,us
