track,album-name,artist,release-date,isrc,all-time-rank,track-score,spotify-streams,spotify-playlist-count,spotify-playlist-reach,spotify-popularity,youtube-views,youtube-likes,tiktok-posts,tiktok-likes,tiktok-views,youtube-playlist-reach,apple-music-playlist-count,airplay-spins,siriusxm-spins,deezer-playlist-count,deezer-playlist-reach,amazon-playlist-count,pandora-streams,pandora-track-stations,soundcloud-streams,shazam-counts,tidal-popularity,explicit-track
In Ha Mood,In Ha Mood,Ice Spice,1/6/2023,USUG12300365,"1,234",42.7,"190,126,590","39,734","15,519,701",63,"71,742,798","984,809","924,557","175,869,184","1,435,693,104","44,538,105",47,"94,993","2,376",14,"202,602",36,"7,622,027","6,229",,"1,093,911",,1
POR QUï¿½ï¿½ SE,POR QUï¿½ï¿½ SE,Grupo Frontera,5/9/2024,FRX452426440,"1,225",42.7,"29,906,024","1,596","46,272,988",76,"17,263,028","241,869",,,,"5,110,923",14,985,,9,"2,186,605",23,"3,921,881",273,,"151,296",,0
ALL MINE,WASTELAND,Brent Faiyaz,7/8/2022,QM24S2203185,"1,232",42.7,"315,014,005","61,987","22,567,278",71,"77,564,375","661,614","129,260","51,356,427","366,123,920","57,858,388",27,"101,865",21,3,"28,284",23,"21,452,340","16,317","13,608,463","1,112,722",,1
Let Me Know (I Wonder Why Freestyle),Sucker,Juice WRLD,7/1/2019,USUG11903494,"1,231",42.7,"503,584,339","126,610","15,066,503",72,"125,086,953","1,299,743","204,105","22,035,785","126,546,185","5,351,849",14,9,,5,"64,314",2,"15,467,818","30,501","94,025,613","1,953,038",,1
The Night We Met,The Night We Met,Lord Huron,2/9/2015,US53Q1200103,"1,226",42.7,"2,097,181,065","286,668","123,211,490",84,"807,672,690","8,866,507","451,668","239,330,349","1,722,597,041","7,770,380",78,"11,224",43,49,"1,101,868",44,"288,302,729","147,940","2,601,964","8,832,956",,0
Playa Del Inglï¿½,Playa Del Inglï¿½ï¿½s - Si,Quevedo,12/15/2022,ES5152201707,"1,227",42.7,"347,558,532","68,744","34,228,107",67,"151,166,424","705,558","99,164","14,984,269","323,188,246","6,739,337",18,"18,093",9,19,"264,043",27,"503,289",244,"90,739","687,719",,0
BOO!SHUT,BOO!SHUT,PIGGS,3/24/2023,JPU902300754,"1,233",42.7,"29,649",41,"1,972",3,"463,192,119","1,356,721",,,,,,28,,,,,,,,"1,847",,0
HOLA PERDIDA REMIX,HOLA PERDIDA REMIX,Luck Ra,5/31/2024,CLPP22400062,"1,228",42.7,"8,981,282",873,"40,161,269",70,"10,058,975","233,142",,,,"18,880,887",14,493,,29,"398,272",11,"23,748",9,27,"17,326",,0
Talk,Talk,Yeat,9/2/2022,USUM72216448,"1,229",42.7,"242,057,987","77,898","8,717,113",67,"39,581,789","457,747","46,710","13,919,189","109,453,452","92,497",10,127,7,1,"4,435",11,"1,216,305","3,164","21,272,944","999,699",,1
Now And Then,Now And Then,The Beatles,11/2/2023,GBUM72203947,"1,235",42.6,"66,843,778","23,455","13,808,666",,"52,809,148","1,252,936","10,600","7,478,172","151,511,760","1,532,321,384",36,"37,800",5,34,"2,915,839",38,"5,217,426","4,549",,"808,129",,0
Sign on the Door,Sign on the Door,Dora Lachaise,3/29/2023,GBU2Z2200001,"1,236",42.6,,4,267,,"466,723,346","563,068",,,,,,5,,,,,,,,7,,0
For Life (feat. Zak Abel & Nile Rodgers),For Life (feat. Zak Abel & Nile Rodgers),Kygo,4/19/2024,USRC12400376,"1,240",42.6,"36,844,307","4,216","90,998,184",76,"314,701","7,535",,,,,71,"26,695",27,71,"14,633,006",27,"671,662",83,,"226,744",,0
Kya Loge Tum,Kya Loge Tum,B Praak,5/15/2023,INUM72300286,"1,238",42.6,"89,701,636","2,561","1,939,449",57,"375,460,772","3,277,504","22,300","649,330","15,339,768","85,756,632",3,272,,,,5,720,,,"104,287",,0
California Breeze,It's Only Me,Lil Baby,10/14/2022,USUG12207230,"1,237",42.6,"116,994,951","45,626","8,408,366",61,"152,685,892","733,891",,,,"210,645,964",44,"4,710",200,5,"90,714",1,"44,593,072","13,300","17,609,055","671,214",,1
Nonstop,Scorpion,Drake,6/29/2018,USCM51800191,"1,239",42.6,"1,118,459,427","175,188","51,548,109",71,"409,939,539","3,134,200","1,703,073","223,929,731","2,167,216,619","2,107,447",147,242,107,28,"228,758",30,"283,709,268","193,608","6,347,238","4,021,390",,1
LOVE DIVE,LOVE DIVE,IVE,4/5/2022,KRA382204375,"1,243",42.5,"397,988,770","28,165","11,131,897",69,"583,304,882","4,759,365","204,227","219,351,151","1,878,718,115","189,613,465",31,"3,065",78,7,"42,644",10,"731,310","1,474",,"468,601",,0
Alucin,Alucin,Eugenio Esquivel,11/17/2023,QMFMF2346943,"1,242",42.5,"207,103,587","16,933","25,825,570",,"85,555,081","727,436",,,,"83,238,337",14,"3,573",5,26,"9,087,254",3,"1,748,090","2,815",,"705,754",,1
Go Stupid,Go Stupid,Polo G,2/14/2020,USQX92000261,"1,241",42.5,"416,388,749","112,485","21,170,575",69,"122,253,253","1,631,776","248,954","151,447,909","940,333,420","7,278,941",27,"9,098",125,11,"24,022",11,"18,692,714","21,103","80,439,766","1,046,790",,1
POPSTAR (feat. Drake),POPSTAR (feat. Drake),DJ Khaled,7/17/2020,USSM12004501,"1,247",42.4,"712,664,065","165,234","35,485,186",63,"384,597,914","4,775,085","257,346","28,205,851","247,613,041","279,342,315",183,93,259,50,"80,760",42,"76,691,890","33,455",,"3,773,076",,1
Qual ï¿½ï¿½ o seu des,Qual ï¿½ï¿½ seu des,Tz da Coronel,2/29/2024,BC2TS2400002,"1,244",42.4,"71,586,678","6,088","12,104,937",73,"68,170,959","616,414",,,,"196,516,221",17,15,,36,"7,534,674",23,,,,,,1
Lovesick Girls,THE ALBUM,BLACKPINK,10/2/2020,KRA402000136,"1,248",42.4,"561,712,007","40,766","14,363,550",65,"959,285,337","16,946,156","578,093","95,381,031","694,367,550","179,751,718",55,"23,131",9,16,"106,541",14,"3,443,241","5,033",,"977,988",,0
Solo (feat. Demi Lovato),Solo (feat. Demi Lovato),Clean Bandit,5/17/2018,GBAHS1800328,"1,246",42.4,"1,042,065,058","114,049","30,877,323",64,"90,354,845","1,452,644","7,280,799","217,591,835","3,283,690,900",,126,"94,478",,110,"433,384",54,"47,638,322","44,602",,"14,928,007",,0
Una Vida Pasada,Una Vida Pasada,Camilo,4/2/2024,USSD12400106,"1,249",42.4,"50,955,386","2,952","47,126,163",81,"40,003,695","294,012","11,400","3,726,119","40,019,764","30,907,986",40,"4,576",,42,"3,315,443",19,"845,380",344,,"217,303",,0
Steven Universe,Steven Universe,L.Dre,2/21/2020,QZFZ32084911,"1,245",42.4,"54,104,852","14,464","2,212,197",50,,,"10,501,056","2,714,697,966","22,902,123,485",,5,33,,2,287,,"126,291",698,,"503,200",,0
places to be,places to be,Fred again..,5/31/2024,GBAHS2400279,"1,250",42.4,"11,581,454","2,277","40,816,159",73,"443,994","16,154",,,,"4,330,498",51,"1,187",1,29,"929,803",47,"35,871",34,"148,032","48,101",,1
ASI ES LA VIDA,ASI ES LA VIDA,Enrique Iglesias,9/28/2023,USSD12300536,"1,254",42.3,"123,776,123","11,830","22,722,898",,"144,081,808","854,410","135,600","3,931,596","80,775,271","258,781,688",36,2,,34,"1,435,593",27,"5,728,517","1,038",,"985,508",,0
Corazï¿½,Corazï¿½,Maluma,11/3/2017,USSD11700459,"1,251",42.3,"598,040,653","52,952","15,758,764",64,"1,871,767,126","7,019,685","37,943","11,651,047","44,176,203","334,146,897",38,"19,241",176,31,"141,022",17,"146,563,344","38,361",,"3,689,896",,0
Elvira,Elvira,Oscar Maydon,12/20/2023,QZ9QQ2300978,"1,255",42.3,"183,146,334","8,183","47,711,465",81,"97,178,744","465,269",,,,"1,252,418,051",13,,,10,"2,291,939",19,"1,762,919","1,461",,"382,419",,1
Fantasias,Fantasias,Rauw Alejandro,8/29/2019,QM6P41989279,"1,253",42.3,"663,578,551","76,919","24,789,585",67,"1,120,507,756","4,714,790","264,337","14,860,378","121,300,058","48,140,480",60,"18,961",53,23,"251,089",36,"53,117,205","9,900","7,834,351","1,795,507",,0
El Jefe,El Jefe,Shakira,9/20/2023,USQX92305281,"1,252",42.3,"122,882,453","11,838","10,617,531",,"164,469,434","2,120,071",1,"8,480","72,400","11,351,590",8,"16,284",162,23,"340,362",14,"9,108,491","4,377","37,878","481,428",,1
Am,AM,Nio Garcia,1/28/2021,QM4TW2137909,"1,257",42.2,"361,357,607","70,546","11,143,810",57,"668,095,711","3,934,415","1,100,094","123,820,134","1,087,148,231","57,766,471",27,"12,106",25,11,"1,615,617",7,"21,888,540","3,685",,"767,913",,1
